AGS,GEN,question_01,question_02
9663,Würzburg,49,49
9671,Aschaffenburg,37,14
9672,Bad Kissingen,83,99
9673,Rhön-Grabfeld,55,59
9674,Haßberge,80,54
9675,Kitzingen,75,40
9676,Miltenberg,89,87
9677,Main-Spessart,94,92
9678,Schweinfurt,37,88
9679,Würzburg,39,67
9761,Augsburg,45,43
9762,Kaufbeuren,60,23
9763,Kempten (Allgäu),87,68
9764,Memmingen,56,66
9771,Aichach-Friedberg,29,67
9772,Augsburg,21,14
9773,Dillingen a.d.Donau,62,39
9774,Günzburg,26,12
9775,Neu-Ulm,24,83
9776,Lindau (Bodensee),85,35
9777,Ostallgäu,12,56
9778,Unterallgäu,93,44
9779,Donau-Ries,64,25
9780,Oberallgäu,39,24
10041,Regionalverband Saarbrücken,69,89
10042,Merzig-Wadern,19,79
10043,Neunkirchen,88,44
10044,Saarlouis,62,75
10045,Saarpfalz-Kreis,80,84
10046,St. Wendel,60,12
11000,Berlin,53,87
12051,Brandenburg an der Havel,35,92
12052,Cottbus,92,99
12053,Frankfurt (Oder),24,30
12054,Potsdam,14,73
12060,Barnim,76,60
12061,Dahme-Spreewald,86,31
12062,Elbe-Elster,57,66
12063,Havelland,77,94
12064,Märkisch-Oderland,52,29
12065,Oberhavel,28,61
12066,Oberspreewald-Lausitz,81,84
12067,Oder-Spree,54,100
12068,Ostprignitz-Ruppin,57,54
12069,Potsdam-Mittelmark,42,11
12070,Prignitz,56,87
12071,Spree-Neiße,34,86
12072,Teltow-Fläming,13,20
12073,Uckermark,37,89
13003,Rostock,55,82
13004,Schwerin,19,72
13071,Mecklenburgische Seenplatte,37,32
13072,Rostock,42,89
13073,Vorpommern-Rügen,66,43
13074,Nordwestmecklenburg,58,97
13075,Vorpommern-Greifswald,48,97
13076,Ludwigslust-Parchim,57,19
14511,Chemnitz,33,76
14521,Erzgebirgskreis,47,92
14522,Mittelsachsen,41,54
14523,Vogtlandkreis,94,38
14524,Zwickau,64,73
14612,Dresden,59,67
14625,Bautzen,24,33
14626,Görlitz,50,36
14627,Meißen,28,29
14628,Sächsische Schweiz-Osterzgebirge,85,99
14713,Leipzig,76,58
14729,Leipzig,38,38
14730,Nordsachsen,85,10
15001,Dessau-Roßlau,93,64
15002,Halle (Saale),64,89
15003,Magdeburg,48,73
15081,Altmarkkreis Salzwedel,89,15
15082,Anhalt-Bitterfeld,82,10
15083,Börde,26,91
15084,Burgenlandkreis,95,89
15085,Harz,12,93
15086,Jerichower Land,19,30
15087,Mansfeld-Südharz,83,97
15088,Saalekreis,20,10
15089,Salzlandkreis,27,83
15090,Stendal,84,21
15091,Wittenberg,54,58
16051,Erfurt,14,11
16052,Gera,55,15
16053,Jena,24,93
16054,Suhl,64,26
16055,Weimar,36,83
16061,Eichsfeld,31,47
16062,Nordhausen,40,79
16063,Wartburgkreis,38,38
16064,Unstrut-Hainich-Kreis,41,25
16065,Kyffhäuserkreis,63,66
16066,Schmalkalden-Meiningen,90,68
16067,Gotha,20,96
16068,Sömmerda,57,64
16069,Hildburghausen,55,69
16070,Ilm-Kreis,97,42
16071,Weimarer Land,30,48
16072,Sonneberg,27,57
16073,Saalfeld-Rudolstadt,12,28
16074,Saale-Holzland-Kreis,72,86
16075,Saale-Orla-Kreis,57,97
16076,Greiz,66,22
16077,Altenburger Land,10,58
1001,Flensburg,90,10
1002,Kiel,56,97
1003,Lübeck,67,51
1051,Dithmarschen,80,68
1051,Dithmarschen,12,100
1054,Nordfriesland,47,95
1055,Ostholstein,20,38
1056,Pinneberg,65,52
1056,Pinneberg,19,54
1057,Plön,51,97
1058,Rendsburg-Eckernförde,19,94
1059,Schleswig-Flensburg,87,36
1061,Steinburg,95,34
2000,Hamburg,36,83
3352,Cuxhaven,74,51
3352,Cuxhaven,24,84
3359,Stade,19,26
3402,Emden,82,80
3405,Wilhelmshaven,77,42
3452,Aurich,90,34
3455,Friesland,47,56
3457,Leer,58,95
3457,Leer,15,77
3462,Wittmund,50,91
4011,Bremen,25,74
4012,Bremerhaven,26,41
8335,Konstanz,63,26
8435,Bodenseekreis,26,63
13003,Rostock,21,57
13072,Rostock,58,87
13073,Vorpommern-Rügen,18,75
13074,Nordwestmecklenburg,63,48
13075,Vorpommern-Greifswald,59,11
